"sex","sport","test_type","metric","n","family","AIC","BIC","CRPS","CRPS_rel","Wasserstein1","W1_rel","KS_D","CvM_W2","AD_A2"
"Male","Badminton","CMJ","Mean.Landing.Power_Both_CMJ",85,"BCCGo",1096.5,1108.7,112.7,0.3414,39.42,0.1195,0.06321,0.03968,0.2346
"Male","Badminton","CMJ","Concentric.Mean.Force_Both_CMJ",85,"NO",1067.3,1077.1,72.72,0.4631,13.92,0.08862,0.0596,0.04285,0.3245
"Female","Football","CMJ","Eccentric.Unloading.Impulse_Both_CMJ",82,"NO",684.6,694.2,8.221,0.4203,3.317,0.1696,0.1504,0.4226,2.347
"Female","Football","CMJ","Takeoff.Peak.Force_Both_CMJ",82,"BCCGo",1016.6,1028.6,68.37,0.4161,26.87,0.1635,0.04807,0.03042,0.2147
"Female","Football","CMJ","Concentric.Mean.Force_Both_CMJ",82,"BCCGo",974,986,49.43,0.4158,7.81,0.0657,0.05273,0.04209,0.3218
"Female","Football","CMJ","Force.at.Zero.Velocity_Both_CMJ",82,"BCCGo",1016.1,1028.1,66.92,0.4324,21.19,0.1369,0.03995,0.02489,0.2392
"Male","Basketball","CMJ","Concentric.Maximum.RFD_Both_CMJ",40,"BCCGo",653.4,661.8,504.2,0.3789,187.8,0.1411,0.08999,0.04982,0.3043
"Male","Basketball","CMJ","Concentric.RPD.100ms...BM_Both_CMJ",73,"NO",891.9,901.1,58.74,0.4631,19.23,0.1517,0.1073,0.1604,1.109
"Male","Basketball","CMJ","P1.Concentric.Impulse_Both_CMJ",73,"BCCGo",611.6,623.1,8.507,0.444,1.333,0.0696,0.0592,0.0322,0.2426
"Male","Basketball","CMJ","Eccentric.Mean.Power_Both_CMJ",73,"BCCGo",912.3,923.7,68.84,0.3694,12.74,0.06835,0.07014,0.07351,0.4706
"Female","Football","DJ","Mean.Landing.Acceleration_Both_DJ",71,"NO",92.5,101.5,0.2391,0.5044,0.07417,0.1565,0.1067,0.1006,0.7284
"Female","Football","DJ","Jump.Height..FT..Relative.Peak.Landing.Force_Both_DJ",71,"NO",753.7,762.8,27.56,0.4182,11.44,0.1736,0.1422,0.3184,1.928
"Female","Football","DJ","RSI..JH..Flight.Time..Contact.Time._Both_DJ",71,"NO",682.2,691.2,15.76,0.4208,6.808,0.1818,0.1092,0.234,1.577
"Female","Football","DJ","Mean.Takeoff.Acceleration_Both_DJ",71,"NO",411,420.1,2.307,0.4157,0.4995,0.09001,0.08945,0.1008,0.7437
"Female","Football","SLJ","Start.of.Concentric.Phase_Right_SLJ",66,"NO",730.4,739.2,33.4,0.4488,17.86,0.24,0.1984,0.7115,3.958
"Female","Football","SLJ","Start.of.Braking.Phase_Right_SLJ",66,"NO",730.4,739.2,33.53,0.451,18.15,0.2441,0.1998,0.7117,3.96
